v_3p_del,v_gene,count
2,IGHV3-33*02,9
4,IGHV3-33*03,1
7,IGHV3-49*05,1
0,IGHV3/OR16-15*02,1
9,IGHV3-73*02,2
0,IGHV1-58*02,2
0,IGHV3/OR16-6*02,1
4,IGHV3-7*03,1
1,IGHV3-43*02,5
1,IGHV4-30-4*06,98
1,IGHV4-34*11,9
0,IGHV3-48*01,4
1,IGHV3-20*01,1
5,IGHV4-61*06,6
1,IGHV7-4-1*91,3
1,IGHV3-66*01,10
0,IGHV3-71*01,93
1,IGHV3-11*04,10
1,IGHV4-61*07,43
0,IGHV1-8*91,64
8,IGHV3-72*01,7
0,IGHV3-h*02,399
4,IGHV4-61*08,1
3,IGHV1/OR15-2*03,3
3,IGHV1-f*01,3
4,IGHV3-23*04,19
3,IGHV4-55*08,1
3,IGHV3-73*02,10
0,IGHV4-4*01,1
4,IGHV3/OR16-8*02,1
3,IGHV1-24*01,3
6,IGHV3-13*04,1
5,IGHV1-3*01,2
1,IGHV3-21*03,5
0,IGHV4-30-2*91,4
0,IGHV4-30-4*06,64
3,IGHV4/OR15-8*03,9
1,IGHV2-70*12,1
3,IGHV3-53*03,1
0,IGHV2-70*13,2
0,IGHV1-18*03,1
3,IGHV5-a*04,3
1,IGHV3-74*03,47
3,IGHV1-3*01,6
3,IGHV1-2*04,3
1,IGHV4-59*08,6
2,IGHV1-69*05,1
7,IGHV3-74*03,4
0,IGHV4/OR15-8*03,57
6,IGHV3-33*03,1
0,IGHV6-1*02,1
0,IGHV1-NL1*91,2
0,IGHV3-9*91,4
1,IGHV3/OR16-8*01,1
1,IGHV3/OR16-6*02,1
0,IGHV4-34*09,1
1,IGHV1-3*02,5
4,IGHV3/OR16-12*01,1
2,IGHV3-23*03,4
1,IGHV1-69*10,9
2,IGHV1-46*02,9
6,IGHV4-61*08,1
2,IGHV3-d*01,1
2,IGHV4-30-2*03,1
0,IGHV4-59*08,5
5,IGHV1-69*05,1
1,IGHV3-30*15,10
0,IGHV3-33*05,15
1,IGHV3-71*01,41
1,IGHV3-49*05,15
1,IGHV3-20*91,51
5,IGHV1-69*13,1
6,IGHV3-15*07,2
0,IGHV1-3*01,41
3,IGHV3-7*03,4
8,IGHV3-h*02,3
0,IGHV3-43*02,4
3,IGHV3-72*01,6
9,IGHV3-9*02,1
1,IGHV4-30-2*91,12
0,IGHV3-66*04,4
0,IGHV3/OR16-12*01,2
0,IGHV3-66*01,10
7,IGHV3/OR16-10*03,1
0,IGHV3-49*05,50
1,IGHV4-55*01,1
4,IGHV1-3*01,6
0,IGHV4-4*91,2
2,IGHV4-61*08,8
0,IGHV3-33*02,66
0,IGHV4-61*02,49
4,IGHV1/OR15-2*01,1
0,IGHV3-7*03,32
2,IGHV1/OR15-4*01,2
1,IGHV5-51*04,4
1,IGHV2-5*10,1
1,IGHV4-34*09,1
1,IGHV3-48*02,9
7,IGHV3-h*01,5
0,IGHV3-64*91,4
6,IGHV4-34*13,1
2,IGHV3-h*02,37
1,IGHV3-66*03,15
4,IGHV3-49*05,1
3,IGHV4-61*06,2
0,IGHV3/OR15-7*05,1
6,IGHV3-23*04,3
2,IGHV3-9*02,16
4,IGHV3-9*02,7
1,IGHV5-51*03,8
6,IGHV3-h*01,1
1,IGHV3-64*02,1
9,IGHV3-74*03,1
