position,mute_freq,lo_err,hi_err
221,0.0,0.0,0.30663872564936534
222,1.0,0.69336127435063466,1.0
223,0.5,0.25914901474431468,0.74085098525568538
224,0.5,0.25914901474431468,0.74085098525568538
225,0.0,0.0,0.30663872564936534
226,0.5,0.25914901474431468,0.74085098525568538
227,0.0,0.0,0.30663872564936534
228,0.5,0.25914901474431468,0.74085098525568538
229,0.0,0.0,0.30663872564936534
230,0.0,0.0,0.30663872564936534
231,0.0,0.0,0.30663872564936534
232,0.0,0.0,0.30663872564936534
233,0.0,0.0,0.30663872564936534
234,0.0,0.0,0.30663872564936534
235,0.0,0.0,0.30663872564936534
236,0.0,0.0,0.30663872564936534
237,0.0,0.0,0.30663872564936534
238,0.0,0.0,0.30663872564936534
239,0.0,0.0,0.30663872564936534
240,0.0,0.0,0.30663872564936534
241,0.0,0.0,0.30663872564936534
242,0.0,0.0,0.30663872564936534
243,0.0,0.0,0.30663872564936534
244,0.0,0.0,0.30663872564936534
245,0.0,0.0,0.30663872564936534
246,0.0,0.0,0.30663872564936534
247,0.0,0.0,0.30663872564936534
248,0.0,0.0,0.30663872564936534
249,0.0,0.0,0.30663872564936534
250,0.0,0.0,0.30663872564936534
251,0.0,0.0,0.30663872564936534
252,0.0,0.0,0.30663872564936534
253,0.0,0.0,0.30663872564936534
254,0.0,0.0,0.30663872564936534
255,0.0,0.0,0.30663872564936534
256,0.0,0.0,0.30663872564936534
257,0.0,0.0,0.30663872564936534
258,0.5,0.25914901474431468,0.74085098525568538
259,0.0,0.0,0.30663872564936534
260,0.0,0.0,0.30663872564936534
261,0.5,0.25914901474431468,0.74085098525568538
262,0.0,0.0,0.30663872564936534
263,0.0,0.0,0.30663872564936534
264,0.0,0.0,0.30663872564936534
265,0.0,0.0,0.30663872564936534
266,0.0,0.0,0.30663872564936534
267,0.0,0.0,0.30663872564936534
268,0.0,0.0,0.30663872564936534
269,0.0,0.0,0.30663872564936534
270,0.0,0.0,0.30663872564936534
271,0.5,0.25914901474431468,0.74085098525568538
272,0.0,0.0,0.30663872564936534
273,0.0,0.0,0.30663872564936534
274,0.0,0.0,0.30663872564936534
275,0.0,0.0,0.30663872564936534
276,0.5,0.25914901474431468,0.74085098525568538
277,0.0,0.0,0.30663872564936534
278,1.0,0.69336127435063466,1.0
279,0.0,0.0,0.30663872564936534
280,0.0,0.0,0.30663872564936534
281,0.0,0.0,0.30663872564936534
282,0.5,0.25914901474431468,0.74085098525568538
283,0.0,0.0,0.30663872564936534
284,0.0,0.0,0.30663872564936534
285,0.0,0.0,0.30663872564936534
286,0.0,0.0,0.30663872564936534
287,0.0,0.0,0.30663872564936534
288,0.0,0.0,0.30663872564936534
289,0.0,0.0,0.30663872564936534
290,0.5,0.25914901474431468,0.74085098525568538
291,0.0,0.0,0.30663872564936534
292,0.5,0.25914901474431468,0.74085098525568538
293,0.0,0.0,0.42264973081037421
