bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,0.003284072249589491,,0.0025832609505
1.5,0.013114754098360656,,0.0046228202785000005
2.5,0.004901960784313725,,0.0030104693085
3.5,0.03099510603588907,,0.006866923391
4.5,0.004878048780487805,,0.0029958671855000005
5.5,0.011345218800648298,,0.004302661842999999
6.5,0.014586709886547812,,0.004823413796
7.5,0.004862236628849271,,0.0029862108784999997
8.5,0.0016207455429497568,,0.002021143324
9.5,0.006729475100942127,,0.003080801412
10.5,0.005383580080753701,,0.00279788812
11.5,0.009421265141318977,,0.0035784145325000005
12.5,0.013458950201884253,,0.004212207066999999
13.5,0.010767160161507403,,0.0038020220005000006
14.5,0.03614457831325301,,0.006669831703500001
15.5,0.06133333333333333,,0.008514650057500003
16.5,0.024,,0.005490894857
17.5,0.006666666666666667,,0.003052219344
18.5,0.0,,0.0016639119655
19.5,0.0,,0.0016639119655
20.5,0.0,,0.0016639119655
21.5,0.0013333333333333333,,0.0016639119655000004
22.5,0.009333333333333334,,0.0035452610315
23.5,0.05733333333333333,,0.008253916413500002
24.5,0.004,,0.0024591144405000003
25.5,0.0013333333333333333,,0.0016639119655000004
26.5,0.005333333333333333,,0.0027719131945000003
27.5,0.006666666666666667,,0.003052219344
28.5,0.004,,0.0024591144405000003
29.5,0.012,,0.003975511991
30.5,0.048,,0.0076007363009999995
31.5,0.008,,0.0033082548705
32.5,0.010666666666666666,,0.0037668209000000005
33.5,0.013333333333333334,,0.0041732618645
34.5,0.016,,0.004541571571999999
35.5,0.07066666666666667,,0.009085515016499998
36.5,0.028,,0.0059036083505
37.5,0.05333333333333334,,0.007982188086
38.5,0.064,,0.008682855144000003
39.5,0.034666666666666665,,0.00652704311
40.5,0.010666666666666666,,0.0037668209000000005
41.5,0.0,,0.0016639119655
42.5,0.06266666666666666,,0.0085992920675
43.5,0.06266666666666666,,0.0085992920675
44.5,0.0,,0.0016639119655
45.5,0.012,,0.003975511991
46.5,0.010666666666666666,,0.0037668209000000005
47.5,0.042666666666666665,,0.007194200735
48.5,0.064,,0.008682855144000003
49.5,0.0013333333333333333,,0.0016639119655000004
50.5,0.014666666666666666,,0.004361556808999999
51.5,0.02266666666666667,,0.0053454251285
52.5,0.0,,0.0
